Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-3008TIM-WHI,DARMA,Surface - Wall - 17W LED -120V -3000K -1400lm - Titanium - White,1140.00,918.00
D,D4-3008CHO-WHI,DARMA,Surface - Wall - 17W LED -120V -3000K -1400lm - Chocolate-White,1140.00,918.00
D,D4-3008GLF-WHI,DARMA,Surface - Wall - 17W LED -120V -3000K -1400lm - Gold Leaf-White,1206.00,970.00
D,D4-3008SLF-WHI,DARMA,Surface - Wall - 17W LED -120V -3000K -1400lm - Silver Leaf-White,1206.00,970.00
D,D4-3008ALM,DARMA,Surface - Wall - 17W LED -120V -3000K -1400lm - Brushed Aluminun - White,1290.00,1052.00
D,D4-3009WHI,DARMA,Surface - Wall - 34W LED -120V -3000K -2700lm - White,1334.00,1074.00
D,D4-3009TIM-WHI,DARMA,Surface - Wall - 34W LED -120V -3000K -2700lm - Titanium - White,1480.00,1190.00
D,D4-3009CHO-WHI,DARMA,Surface - Wall - 34W LED -120V -3000K -2700lm - Chocolate-White,1452.00,1170.00
D,D4-3009GLF-WHI,DARMA,Surface - Wall - 34W LED -120V -3000K -2700lm - Gold Leaf-White,1580.00,1272.00
D,D4-3009SLF-WHI,DARMA,Surface - Wall - 34W LED -120V -3000K -2700lm - Silver Leaf-White,1580.00,1272.00
D,D4-3009ALM,DARMA,Surface - Wall - 34W LED -120V -3000K -2700lm - Brushed Aluminun - White,1580.00,1272.00
D,D4-6000WHI,DARMA,Recessed -7x7 -8.5W LED -120V -3000K -700lm - White,508.00,408.00
D,D4-6001WHI,DARMA,Recessed -10x10 -17W LED -120V -3000K -1350lm - White,692.00,556.00
D,D4-9000,DARMA,Recessed -7x7 Housing,60.00,50.00
D,D4-9001,DARMA,Recessed -10x10 Housing,68.00,54.00
D,D4-1004WH,DIADEMA,Suspension -3x30W LED -120v -3000K -7650lm - White,3624.00,2902.00
D,D4-1004WHI-ALM,DIADEMA,Suspension -3x30W LED -120v -3000K -7650lm - White - Aluminum,4582.00,3674.00
D,D4-1004GLF,DIADEMA,Suspension -3x30W LED -120v -3000K -7650lm - Gold Leaf,4582.00,3674.00
D,D4-1005WH,DIADEMA,Suspension -3x30W LED -120v -3000K -7650lm - Decentrated Base - White,3790.00,3036.00
D,D4-1005WHI-ALM,DIADEMA,Suspension -3x30W LED -120v -3000K -7650lm - Decentrated Base - White - Aluminum,4746.00,3804.00
D,D4-1005GLF,DIADEMA,Suspension -3x30W LED -120v -3000K -7650lm - Decentrated Base - Gold Leaf,4746.00,3804.00
D,D4-1006WH,DIADEMA,Suspension -3x20W LED -120v -3000K -5100lm - White,2910.00,2330.00
D,D4-1006WHI-ALM,DIADEMA,Suspension -3x20W LED -120v -3000K -5100lm - White - Aluminum,3734.00,2998.00
D,D4-1006GLF,DIADEMA,Suspension -3x20W LED -120v -3000K -5100lm - Gold Leaf,3734.00,2998.00
D,D4-1007WH,DIADEMA,Suspension -3x20W LED -120v -3000K -5100lm - Decentrated Base - White,3074.00,2464.00
D,D4-1007WHI-ALM,DIADEMA,Suspension -3x20W LED -120v -3000K -5100lm - Decentrated Base - White - Aluminum,3898.00,3128.00
D,D4-1007GLF,DIADEMA,Suspension -3x20W LED -120v -3000K -5100lm - Decentrated Base - Gold Leaf,3898.00,3128.00
D,D4-1008WH,DIADEMA,Suspension -3x15W LED -120v -3000K -3825lm - White,2268.00,1820.00
D,D4-1008WHI-ALM,DIADEMA,Suspension -3x15W LED -120v -3000K -3825lm - White - Aluminum,2826.00,2270.00
D,D4-1008GLF,DIADEMA,Suspension -3x15W LED -120v -3000K -3825lm - Gold Leaf,2826.00,2270.00
D,D4-1009WH,DIADEMA,Suspension -3x15W LED -120v -3000K -3825lm - Decentrated Base - White,2430.00,1952.00
D,D4-1009WHI-ALM,DIADEMA,Suspension -3x15W LED -120v -3000K -3825lm - Decentrated Base - White - Aluminum,2994.00,2406.00
D,D4-1009GLF,DIADEMA,Suspension -3x15W LED -120v -3000K -3825lm - Decentrated Base - Gold Leaf,2994.00,2406.00
D,D4-1010WH,DIADEMA,Suspension -195W LED -120v -3000K -16575lm - White,8602.00,6914.00
D,D4-1010WHI-ALM,DIADEMA,Suspension -195W LED -120v -3000K -16575lm - White - Aluminum,10940.00,8798.00
D,D4-1010GLF,DIADEMA,Suspension -195W LED -120v -3000K -16575lm - Gold Leaf,10940.00,8798.00
D,D4-1011WH,DIADEMA,Suspension -195W LED -120v -3000K -16575lm - Decentrated Base - White,8736.00,7020.00
D,D4-1011WHI-ALM,DIADEMA,Suspension -195W LED -120v -3000K -16575lm - Decentrated Base - White - Aluminum,11110.00,8934.00
D,D4-1011GLF,DIADEMA,Suspension -195W LED -120v -3000K -16575lm - Decentrated Base - Gold Leaf,11110.00,8934.00
D,D4-1012WH,DIADEMA,Suspension -135W LED -120v -3000K -11475lm - White,5966.00,4790.00
D,D4-1012WHI-ALM,DIADEMA,Suspension -135W LED -120v -3000K -11475lm - White - Aluminum,7482.00,6010.00
D,D4-1012GLF,DIADEMA,Suspension -135W LED -120v -3000K -11475lm - Gold Leaf,7482.00,6010.00
D,D4-1013WH,DIADEMA,Suspension -135W LED -120v -3000K -11475lm - Decentrated Base - White,6130.00,4920.00
D,D4-1013WHI-ALM,DIADEMA,Suspension -135W LED -120v -3000K -11475lm - Decentrated Base - White - Aluminum,7646.00,6142.00
D,D4-1013GLF,DIADEMA,Suspension -135W LED -120v -3000K -11475lm - Decentrated Base - Gold Leaf,7646.00,6142.00
D,D4-1014WH,DIADEMA,Suspension -105W LED -120v -3000K -8925lm - White,5184.00,4166.00
D,D4-1014WHI-ALM,DIADEMA,Suspension -105W LED -120v -3000K -8925lm - White - Aluminum,6568.00,5280.00
D,D4-1014GLF,DIADEMA,Suspension -105W LED -120v -3000K -8925lm - Gold Leaf,6568.00,5280.00
D,D4-1015WH,DIADEMA,Suspension -105W LED -120v -3000K -8925lm - Decentrated Base - White,5346.00,4296.00
D,D4-1015WHI-ALM,DIADEMA,Suspension -105W LED -120v -3000K -8925lm - Decentrated Base - White - Aluminum,6732.00,5412.00
D,D4-1015GLF,DIADEMA,Suspension -105W LED -120v -3000K -8925lm - Decentrated Base - Gold Leaf,6732.00,5412.00
D,D4-1016WHI,ECLISSE,Suspension -3x10W DIR + 3x17.5W INDIR LED -55CM -3000K -2100+4050lm - White,3116.00,2494.00
D,D4-1016TIM-WHI,ECLISSE,Suspension -3x10W DIR + 3x17.5W INDIR LED -55CM -3000K -2100+4050lm - Titanium-White,3344.00,2680.00
D,D4-1016CHO-WHI,ECLISSE,Suspension -3x10W DIR + 3x17.5W INDIR LED -55CM -3000K -2100+4050lm - Chocolate-White,3344.00,2680.00
D,D4-1016TIM-SLF,ECLISSE,Suspension -3x10W DIR + 3x17.5W INDIR LED -55CM -3000K -2100+4050lm - Titanium-Silver Leaf,3344.00,2680.00
D,D4-1016CHO-GLF,ECLISSE,Suspension -3x10W DIR + 3x17.5W INDIR LED -55CM -3000K -2100+4050lm - Chocolate-Gold Leaf,3344.00,2680.00
D,D4-1017WHI,EMISFERO,Suspension -1x60W -G9 -120V - White,592.00,478.00
D,D4-1018WHI,EMISFERO,Suspension -1x100W -E26 -120V - White,820.00,658.00
D,D4-1019WHI,EMISFERO,Suspension -1x150W -E26 -120V - White,1010.00,810.00
D,D4-1020WHI,EMISFERO,Suspension -1x200W -E26 -120V - White,1754.00,1398.00
D,D4-2009WHI,EMISFERO,Surface -1x60W -G9 -120V - White,496.00,398.00
D,D4-2010WHI,EMISFERO,Surface -1x100W -E26 -120V - White,720.00,576.00
D,D4-2011WHI,EMISFERO,Surface -1x150W -E26 -120V - White,908.00,726.00
D,D4-2012WHI,EMISFERO,Surface -1x200W -E26 -120V - White,1656.00,1320.00
